Reference,Institution_Name,Address_1,Postcode,Email,Institution_Type,Latitude,Longitude,Pupil_Teacher_Ratio,Number_Pupils_2015
3030815,Moneynick Primary School,104 MONEYNICK ROAD,BT41 3HS,info@moneynickps.randalstown.ni.sch.uk,Primary school,54.74168,-6.39104,20.33,61
4011699,Moneyrea Primary School,36 CHURCH ROAD,BT23 6BB,info@moneyreaps.newtownards.ni.sch.uk,Primary school,54.53275,-5.82777,26.58,210
3116219,Monkstown Nursery School,JENNINGS PARK,BT37 0NB,info@monkstownns.monkstown.ni.sch.uk,Nursery school,54.6911,-5.91278,23.64,0
3010818,Moorfields Primary School,180 MOORFIELDS ROAD,BT42 3EF,info@moorfields.ballymena.ni.sch.uk,Primary school,54.82842,-6.15559,24.88,199
3013323,Mossgrove Primary School,29 SWANSTOWN ROAD GLENGORMLEY,BT36 5DN,info@mossgroveps.newtownabbey.ni.sch.uk,Primary school,54.67475,-5.97297,23.02,233
3116162,Mossley Nursery School,2A HAZELBURN ROAD,BT36 5NA,info@mossleyns.newtownabbey.ni.sch.uk,Nursery school,54.69223,-5.94679,25.57,0
3016015,Mossley Primary School,2 HAZELBURN ROAD,BT36 5NA,info@mossleyps.newtownabbey.ni.sch.uk,Primary school,54.6928,-5.94539,23.25,620
2420041,Mount Lourdes Grammar School,4 BELMORE STREET,BT74 6AB,info@mountlds.enniskillen.ni.sch.uk,Secondary (grammar) school,54.34507,-7.63482,15.06,753
4AA0156,Mount Oriel Playgroup,45 Saintfield Road,BT8 6HJ,,VP Pre-schools,54.56012,-5.90979,,0
5031126,Mount St Catherine's Primary School,11 WINDMILL HILL,BT60 4BR,info@mtstcatherines.armagh.ni.sch.uk,Primary school,54.34814,-6.66276,18.88,219
3030688,Mount St Michael's Primary School,3 CRAIGSTOWN ROAD,BT41 2AF,info@mountstmichaelsps.randalstown.ni.sch.uk,Primary school,54.75075,-6.31002,22.37,417
3AB0087,Mount St Nicholas Playgroup,YMCA,BT38 8AT,,VP Pre-schools,54.71399,-5.81492,,0
5011161,Mountnorris Primary School,7 MAIN STREET,BT60 2TR,info@mountnorrisps.mountnorris.ni.sch.uk,Primary school,54.25298,-6.47635,20,91
4AA0146,Movilla Abbey Playgroup,Movilla Abbey,BT23 8EZ,,VP Pre-schools,54.59496,-5.6717,,0
4210012,Movilla High School,DONAGHADEE ROAD,BT23 7HA,info@movilla.newtownards.ni.sch.uk,Secondary (non-grammar) school,54.59543,-5.68267,9.4,219
5BB0215,Moy Area Playgroup,12 Dungannon Road,BT71 7SN,info@moyareaplaygroup.com,VP Pre-schools,54.44876,-6.69952,,0
5012636,Moy Regional Primary School,12 DUNGANNON ROAD,BT71 7SN,info@moyregional.moy.ni.sch.uk,Primary school,54.44876,-6.69952,20.63,66
5016543,Moyallon Primary School,103 MOYALLON ROAD,BT63 5JY,info@moyallon.craigavon.ni.sch.uk,Primary school,54.3995,-6.38865,21.52,205
3010870,Moyle Primary School,18 SALLAGH PARK,BT40 1NS,info@moyleps.larne.ni.sch.uk,Primary school,54.85689,-5.81963,20.37,353
3AB0117,Muckamore Pre-School Playgroup,Muckamore Community Centre,BT41 1PH,,VP Pre-schools,54.70656,-6.18063,,0
2BB0341,Mullabuoy Pre-School,60 Lettershandoney Avenue,BT47 3HZ,,VP Pre-schools,54.98001,-7.21498,,0
2033707,Mullabuoy Primary School,60 LETTERSHENDONY AVENUE,BT47 3HZ,info@mullabuoyps.drumahoe.ni.sch.uk,Primary school,54.98001,-7.21498,22,88
5011019,Mullaglass Primary School,8 GORAGH ROAD,BT35 6PZ,info@mullaglass.newry.ni.sch.uk,Primary school,54.2078,-6.36859,20,88
2BB0062,Mullanaskea Pre-School,24 Fedden Road,BT74 4FD,,VP Pre-schools,54.36087,-7.5609,,0
5011095,Mullavilly Primary School,46 MULLAVILLY ROAD,BT62 2LX,info@mullavilly.tandragee.ni.sch.uk,Primary school,54.37285,-6.4466,19.07,130
5AB0656,Na??scoil an Ch??ide,Keady GAA,BT60 3RH,naiscoilancheide@yahoo.com,VP Pre-schools,54.25307,-6.70445,,0
5AB0395,Na??scoil an Chreag??in,Silverbridge Resource Centre,BT35 9PQ,kealeyadrienne@gmail.com,VP Pre-schools,54.09679,-6.53756,,0
5BB0235,Na??scoil an I??ir,74 Kilmorey Street,BT34 2DH,naiscoilaniuir88@gmail.com,VP Pre-schools,54.16904,-6.33377,,0
1BB0476,Na??scoil an Lonn??in,61 Falls Road,BT12 4PD,cmcbride722@c2kni.net,VP Pre-schools,54.598,-5.95341,,0
5BB0547,Naiscoil Aodha Rua,97 Donaghmore Road,BT70 1HD,naiscoilaodharua@outlook.com,VP Pre-schools,54.50889,-6.77811,,0
3AB0114,Na??scoil Charn T??chair,131 Tirkane Road,BT46 5NH,,VP Pre-schools,54.87097,-6.70998,,0
4AB0601,Na??scoil Chill Locha,43 Rossglass Road,BT30 7QZ,,VP Pre-schools,54.25085,-5.64422,,0
5BB0393,Na??scoil Chois Locha,c/o St Francis PS,BT66 6DL,naiscoilchoislocha@hotmail.co.uk,VP Pre-schools,54.46388,-6.35129,,0
2AB0071,Na??scoil Cholmcille,Unit 6 NW Business Complex,BT48 8SE,,VP Pre-schools,55.0369,-7.32421,,0
2BB0345,Na??sco??l Cholmc??lle an Charraig Mhor,2 Rockstown Road,BT79 9BE,,VP Pre-schools,54.5977,-7.05312,,0
4AB0409,Na??scoil Dhun Padraig,St Michael's Parish Centre,BT30 6BS,,VP Pre-schools,54.32597,-5.71304,,0
3BB0535,Na??scoil ??anna,Hightown Road,BT36 7AU,,VP Pre-schools,54.66259,-5.97056,,0
3AB0642,Naiscoil Ghleann an Iolair,9 Curraghmore Road,BT51 5DZ,,VP Pre-schools,54.95494,-6.73598,,0
3AB0523,Na??scoil Ghleann Darach,The Mobile,BT29 4LA,,VP Pre-schools,54.61612,-6.22492,,0
2BB0563,Naiscoil Leim an Mhadaidh,57 Church Street,BT49 0BX,,VP Pre-schools,55.05116,-6.94322,,0
3AB0125,Naiscoil Mhachaire Ratha,41-43 Glen Road,BT46 5AP,,VP Pre-schools,54.8458,-6.67785,,0
1AB0428,Naiscoil Mhic Reachtain,174 Trust,BT14 6BP,amcglue354@c2kni.net,VP Pre-schools,54.61253,-5.93645,,0
5BB0392,Na??scoil Na Banna,250A Garvaghy Road,BT62 1EB,naiscoilnabanna@hotmail.co.uk,VP Pre-schools,54.43471,-6.46151,,0
2BB0511,Na??scoil na Dar??ige,Corr??n U?? Nuall??in,BT48 0PD,,VP Pre-schools,55.02146,-7.34477,,0
2AB0569,Na??scoil na Deirge,30 Hospital Road,BT81 7HY,,VP Pre-schools,54.71216,-7.58734,,0
4AB0154,Na??scoil na Fuiseoige,6 Summerhill Road,BT17 0RL,,VP Pre-schools,54.55056,-6.02407,,0
5BB0562,Naiscoil na mBeann,139a Newcastle Road,BT34 4NL,naiscoilnambeann@googlemail.com,VP Pre-schools,54.07313,-5.98079,,0
1BB0015,Na??scoil na M??na,5 Monagh Grove,BT11 8EJ,,VP Pre-schools,54.58688,-5.99267,,0
5BB0617,Na??scoil na P??irce Glaise,CBS Smartees,BT60 4AB,omcmanus162@c2kni.net,VP Pre-schools,54.34214,-6.66019,,0
3AB0481,Na??scoil na Speir??n??,82 Sixtowns Road,BT45 7BB,,VP Pre-schools,54.82181,-6.84075,,0
3BB0648,Naiscoil Na Tamhnimoire,30 Chapeltown Road,BT41 2LD,,VP Pre-schools,54.7844,-6.23912,,0
2AB0046,Na??scoil Neachtain,55 Garvagh Road,BT47 4LU,,VP Pre-schools,54.93063,-6.91906,,0
5AB0561,Naiscoil Shliabh gCuilinn,The Pastoral Centre,BT35 8HR,info@naiscoilshliabhgcuilinn.org,VP Pre-schools,54.0916,-6.36876,,0
2030373,Nazareth House Primary School,BISHOP STREET,BT48 6UN,info@nazarethhouse.derry.ni.sch.uk,Primary school,54.98978,-7.32857,23.55,228
4210045,Nendrum College,DARRAGH ROAD,BT23 5BX,info@nendrumcollege.comber.ni.sch.uk,Secondary (non-grammar) school,54.55358,-5.7434,14.68,414
1010267,Nettlefield Primary School,RADNOR STREET,BT6 8BG,info@nettlefield.belfast.ni.sch.uk,Primary school,54.59221,-5.90629,20.06,305
1110036,New Lodge Nursery School,DUNCAIRN PARADE,BT15 2ET,info@newlodgens.belfast.ni.sch.uk,Nursery school,54.61099,-5.93221,26,0
3032109,New Row Primary School,43 NEW ROW,BT45 8AP,info@newrowps.castledawson.ni.sch.uk,Primary school,54.77693,-6.55648,20.63,165
5260285,New-Bridge Integrated College,25 DONARD VIEW ROAD,BT32 3LN,info@newbridgecollege.loughbrickland.ni.sch.uk,Secondary (non-grammar) school,54.31842,-6.31048,15.55,597
2012261,Newbuildings Primary School,83A VICTORIA ROAD,BT47 2RL,info@newbuildings.newbuildings.ni.sch.uk,Primary school,54.95796,-7.35951,24.17,170
4AB0181,Newcastle Pre-School Playgroup,10-14 Central Promenade,BT33 0AA,,VP Pre-schools,54.20912,-5.89037,,0
4011698,Newcastle Primary School,SHIMNA ROAD,BT33 0AS,info@newcastleps.newcastle.ni.sch.uk,Primary school,54.21525,-5.89108,17.56,132
5AB0186,Newmills Playgroup,82a Annaginney Road,BT71 4EA,newmillspg@btinternet.com,VP Pre-schools,54.5516,-6.74407,,0
5012719,Newmills Primary School,96 FARLOUGH ROAD,BT71 4DX,info@newmills.dungannon.ni.sch.uk,Primary school,54.55005,-6.73999,19.87,82
5210186,Newry High School,23 ASHGROVE ROAD,BT34 1QN,info@newryhigh.newry.ni.sch.uk,Secondary (non-grammar) school,54.18772,-6.33335,15.18,413
3AB0092,Newtownabbey Methodist Mission Pre-School,35a Rathcoole Drive,BT37 9AQ,,VP Pre-schools,54.66036,-5.91656,,0
4011345,Newtownards Model Primary School,SCRABO ROAD,BT23 4NW,info@ardsmodelps.newtownards.ni.sch.uk,Primary school,54.59127,-5.70796,23.15,413
4110035,Newtownards Nursery School,2F PORTAFERRY ROAD,BT23 8NN,info@newtownardsns.newtownards.ni.sch.uk,Nursery school,54.59109,-5.69005,26,0
2AB0222,Newtownbutler Cross Community Playgroup,Galloon Gardens,BT92 8GT,,VP Pre-schools,54.18313,-7.35658,,0
2011879,Newtownbutler(2) Primary School,58 HIGH STREET,BT92 8JE,info@newtownbutlerps.enniskillen.ni.sch.uk.,Primary school,54.18465,-7.36364,14,54
5210025,Newtownhamilton High School,9 ARMAGH ROAD,BT35 0DG,info@nhs.newtownhamilton.ni.sch.uk,Secondary (non-grammar) school,54.19669,-6.5791,12.38,177
5011137,Newtownhamilton Primary School,8 SCHOOL ROAD,BT35 0DQ,info@newtownhamiltonps.newtownhamilton.ni.sch.uk,Primary school,54.1966,-6.57853,16.05,61
2016262,Newtownstewart Model Primary School,6 BARONSCOURT ROAD,BT78 4EX,info@newtownstewartmodelps.newtownstewart.ni.sch.uk,Primary school,54.71893,-7.38842,21,63
2BB0454,Nippers Alley Playgroup,166 Loughmacrory Road,BT79 9LG,,VP Pre-schools,54.62536,-7.10823,,0
3260290,North Coast Integrated College,21 CLOYFIN ROAD,BT52 2NU,info@ncic.coleraine.ni.sch.uk,Secondary (non-grammar) school,55.14141,-6.65106,12.17,427
5AB0214,O'Fiaich Playgroup,96/97 Callanbridge Road,BT60 4BT,ofiaichplaygroup@hotmail.com,VP Pre-schools,54.35051,-6.67295,,0
3016257,Oakfield Primary School,OAKFIELD DRIVE,BT38 7SP,info@oakfieldps.carrickfergus.ni.sch.uk,Primary school,54.73346,-5.80532,23.94,289
2260276,Oakgrove Integrated College,STRADREAGH,BT47 6TG,info@oakgrovecollege.derry.ni.sch.uk,Secondary (non-grammar) school,55.02466,-7.28004,14.51,819
2066558,Oakgrove Integrated Primary School,RECTORY FIELD,BT47 6JY,info@oips.lderry.ni.sch.uk,Primary school,54.99884,-7.30543,23.28,393
4BB0473,Oakwood Integrated Children's Centre,48 The Cutts,BT17 9HN,,VP Pre-schools,54.54279,-6.02817,,0
4066611,Oakwood Integrated Primary School,48 THE CUTTS,BT17 9HN,info@oakwoodips.belfast.ni.sch.uk,Primary school,54.54279,-6.02817,22.11,199
1316582,Oakwood School and Assessment Centre,HARBERTON PARK,BT9 6TX,info@oakwood.belfast.ni.sch.uk,Special school,54.55793,-5.96628,4.74,0
4016144,Old Warren Primary School,147 DRUMBEG DRIVE,BT28 1QP,info@oldwarrenps.lisburn.ni.sch.uk,Primary school,54.50317,-6.05968,18.08,115
3010646,Olderfleet Primary School,116-128 CURRAN ROAD,BT40 1BX,info@olderfleetps.larne.ni.sch.uk,Primary school,54.85126,-5.804,21.74,182
1116159,Oldpark Nursery School,SYLVAN STREET,BT14 6GN,info@oldparkns.belfast.ni.sch.uk,Nursery school,54.61545,-5.94765,26,0
2410066,Omagh Academy,21-23 DUBLIN ROAD,BT78 1HF,info@omaghacademy.omagh.ni.sch.uk,Secondary (grammar) school,54.59774,-7.29846,16,673
2012691,Omagh County Primary School,37 CAMPSIE ROAD,BT79 0AJ,info@omaghcounty.omagh.ni.sch.uk,Primary school,54.60077,-7.291,21.86,280
2210125,Omagh High School,14 CREVENAGH ROAD,BT79 0EQ,info@omaghhigh.omagh.ni.sch.uk,Secondary (non-grammar) school,54.59927,-7.28855,13.63,398
2066552,Omagh Integrated Primary School,DERGMONEY LANE  9 BALLYNAHATTY ROAD,BT78 1PN,info@integratedprimary.omagh.ni.sch.uk,Primary school,54.5862,-7.29427,22.73,337
2116265,Omagh North Nursery School,64A OLD MOUNTFIELD ROAD,BT79 7EG,info@omaghnorthns.omagh.ni.sch.uk,Nursery school,54.60577,-7.29334,33.13,0
1010273,Orangefield Primary School,MARINA PARK,BT5 6BA,info@orangefieldps.belfast.ni.sch.uk,Primary school,54.58542,-5.87628,23.11,410
2AB0029,Orchard Community Playgroup,32a Hyacinth Avenue,BT49 9HT,,VP Pre-schools,55.04524,-7.01814,,0
5016658,Orchard County Primary School,65 BLACKISLAND ROAD,BT62 1NH,info@orchardcounty.portadown.ni.sch.uk,Primary school,54.45753,-6.60733,23.96,152
5BB0500,Orchard Pre-school,14 Ballyhegan Road,BT61 8PX,orchardplaygroup@live.co.uk,VP Pre-schools,54.40814,-6.56368,,0
5016221,Orritor Primary School,249 ORRITOR ROAD,BT80 9NE,info@orritor.cookstown.ni.sch.uk,Primary school,54.65787,-6.81424,21.33,166
4036693,Our Lady and St Patrick Primary School,Edward Street,BT30 6JD,info@conmercyps.downpatrick.ni.sch.uk,Primary school,54.32553,-5.70866,21.24,446
4420259,Our Lady and St Patrick's College,120 Gilnahirk Road,BT5 7DL,info@knock.belfast.ni.sch.uk,Secondary (grammar) school,54.58566,-5.83998,15.06,1271
3230075,Our Lady of Lourdes High School,CASTLE STREET,BT53 6JX,info@lourdeshigh.ballymoney.ni.sch.uk,Secondary (non-grammar) school,55.06696,-6.52163,11.6,225
1030313,Our Lady of Lourdes Primary School,700 ANTRIM ROAD,BT15 5GQ,info@ourladyoflourdes.belfast.ni.sch.uk,Primary school,54.64526,-5.93634,23.06,618
2036415,Our Lady of Lourdes Primary School,279 CROCKANBOY ROAD,BT79 7QP,info@ourladyoflourdesps.omagh.ni.sch.uk,Primary school,54.69029,-7.07992,24.4,122
4036591,Our Lady Queen of Peace Primary School,1 CHERRY ROAD DUNMURRY,BT17 0RW,info@olqop.dunmurry.ni.sch.uk,Primary school,54.55602,-6.01254,22.02,355
5036639,Our Lady's and St Mochua's Primary School,91 DERRYNOOSE ROAD,BT60 3EZ,info@ourladysandstmochuas.derrynoose.ni.sch.uk,Primary school,54.23134,-6.77222,20.78,183
1030326,Our Lady's Girls' Primary School,DEANBY GARDENS,BT14 6NN,info@ourladysgirlsprimary.belfast.ni.sch.uk,Primary school,54.62347,-5.95411,19.69,378
5420060,Our Lady's Grammar School,CHEQUER HILL,BT35 6DY,info@ourladysgrammar.newry.ni.sch.uk,Secondary (grammar) school,54.18058,-6.34179,17.22,853
1136251,Our Lady's Nursery School,9 DEANBY GARDENS,BT14 6NN,info@ourladysns.belfast.ni.sch.uk,Nursery school,54.62226,-5.95389,26,0
1BB0012,Our Lady's Pre-School Playgroup,Sacred Heart Boys Primary School,BT14 6HH,ourladysplaygroup@hotmail.co.uk,VP Pre-schools,54.61602,-5.9482,,0
5036598,Our Lady's Primary School,MILTOWN ROAD,BT71 7NJ,info@ourladys.tullysaran.ni.sch.uk,Primary school,54.39145,-6.74317,22.36,156
5AB0309,Paddington Playgroup,40 Lurgylea Road,BT70 2NX,paddingtonplaygroup@gmail.com,VP Pre-schools,54.54345,-6.90382,,0
5AB0204,Panda Cross Community Playgroup,Unit 1 Killymaddy Centre,BT70 1TF,pandaccplaygroup@hotmail.co.uk,VP Pre-schools,54.48603,-6.88949,,0
2AB0313,Park Community Playgroup,Learmount Resource Centre,BT47 4BA,,VP Pre-schools,54.86419,-7.08551,,0
1316500,Park Education Resource Centre,145 RAVENHILL ROAD,BT6 8GH,info@park.belfast.ni.sch.uk,Special school,54.58749,-5.91164,8.74,0
3010642,Parkgate Primary School,79 GRANGE ROAD,BT39 0DH,info@parkgateps.ballyclare.ni.sch.uk,Primary school,54.72436,-6.09232,18.41,81
3250207,Parkhall Integrated College,STEEPLE ROAD,BT41 1AF,info@parkhallintegratedcollege.antrim.ni.sch.uk,Secondary (non-grammar) school,54.72277,-6.21079,14.68,674
3016058,Parkhall Primary School,SEACASH WALK,BT41 1AZ,info@parkhallps.antrim.ni.sch.uk,Primary school,54.72016,-6.20111,18.74,206
4316515,Parkview Special School,2 BROKERSTOWN ROAD,BT28 2EE,info@parkviewspecial.lisburn.ni.sch.uk,Special school,54.51611,-6.08527,7.67,0
5AB0396,Peatlands Playgroup,2 Clonmakate Road,BT62 1LR,estelle.brownlee@yahoo.co.uk,VP Pre-schools,54.48209,-6.54357,,0
2AB0571,Pennyburn Community Playgroup,C/O Maybrook A.T.C,BT48 8DG,,VP Pre-schools,55.01983,-7.31711,,0
2AB0343,Peter Pan Playgroup,32 Main Street,BT78 3SU,,VP Pre-schools,54.45135,-7.48766,,0
4CA0614,Peter's Patch Day Nursery,31 Carnreagh,BT26 6LJ,,VP Pre-schools,54.46941,-6.0726,,0
5066657,Phoenix Integrated Primary School,80 Fountain Street,BT80 8QF,info@phoenix-ips.cookstown.ni.sch.uk,Primary school,54.64061,-6.73718,24.03,190
1BB0013,Play and Learn Playgroup,Holy Cross Girls PS,BT14 7HZ,mccuskerandrea@hotmail.com,VP Pre-schools,54.6203,-5.96865,,0
4AB0440,Play-A-Way Childcare Centre,Zion Hall,BT23 7ER,,VP Pre-schools,54.59378,-5.68654,,0
3AB0576,Playaway Playgroup,Islandmagee Community Centre,BT40 3BW,,VP Pre-schools,54.78067,-5.70775,,0
3AB0260,Playhouse Activity Centre,Coleraine West Community Centre,BT51 3EZ,,VP Pre-schools,55.12549,-6.68414,,0
4AB0278,Playlinks Playgroup,The Playing Fields,BT30 7NB,,VP Pre-schools,54.36754,-5.55607,,0
2CB0294,Playtime Day Nursery & Playgroup,Eskra Childcare Centre,BT78 2RJ,,VP Pre-schools,54.4843,-7.2042,,0
5AB0206,Pomeroy Pre-School Playgroup,5A Cavanakeeran Road,BT70 2RD,siobhancorr9249@yahoo.co.uk,VP Pre-schools,54.59506,-6.93008,,0
4116418,Pond Park Nursery School,20 REDPOLL AVENUE,BT28 3PW,info@pondparkns.lisburn.ni.sch.uk,Nursery school,54.52616,-6.06651,26,0
4016401,Pond Park Primary School,63 POND PARK ROAD,BT28 3BF,info@pondparkps.lisburn.ni.sch.uk,Primary school,54.52547,-6.06745,25.09,623
4CA0378,Poppins Day Nursery,17 Chestnut Hill Road,BT67 0LW,,VP Pre-schools,54.49553,-6.21595,,0
5410067,Portadown College,4 KILLYCOMAINE ROAD,BT63 5BU,info@pc.portadown.ni.sch.uk,Secondary (grammar) school,54.42561,-6.4247,15.89,788
5066553,Portadown Integrated Primary School,1 KERNAN ROAD,BT63 5RR,info@portadownintegrated.portadown.ni.sch.uk,Primary school,54.43813,-6.41953,22.85,277
4051601,Portaferry Integrated Primary School,HIGH STREET,BT22 1QU,info@portaferryinteps.newtownards.ni.sch.uk,Primary school,54.38393,-5.54018,14.19,56
4BB0180,Portaferry pre school Playgroup,95c High Street,BT22 1QU,,VP Pre-schools,54.38376,-5.54125,,0
4011507,Portavogie Primary School,NEW HARBOUR ROAD,BT22 1EE,info@portavogieps.newtownards.ni.sch.uk,Primary school,54.45636,-5.44871,23.8,201
3AB0253,Portglenone Community Playgroup,Portglenone Community Centre,BT44 8HT,,VP Pre-schools,54.87504,-6.48059,,0
3016440,Portglenone Primary School,10 CULLYBACKEY ROAD,BT44 8AF,info@portglenoneps.ballymena.ni.sch.uk,Primary school,54.8741,-6.4719,19.81,107
3BB0367,Portrush Pre-School Community Playgroup,75 Crocnamac Road,BT56 8JW,,VP Pre-schools,55.20051,-6.64755,,0
3010847,Portrush Primary School,CROCKNAMACK ROAD,BT56 8JW,info@portrushps.portrush.ni.sch.uk,Primary school,55.20025,-6.64845,24.39,198
3012250,Portstewart Primary School,CENTRAL AVENUE,BT55 7BT,info@portstewartps.portstewart.ni.sch.uk,Primary school,55.18585,-6.71458,22.92,249
5AB0330,Poyntzpass Community Playgroup,The Meeting Place,BT35 6SW,poyntzpassplaygroupnews@gmail.com,VP Pre-schools,54.29225,-6.3744,,0
5016078,Poyntzpass Primary School,1 TANDRAGEE ROAD,BT35 6SL,info@poyntzpass.poyntzpass.ni.sch.uk,Primary school,54.29475,-6.37353,21.15,110
5036586,Presentation Primary School,THOMAS STREET,BT62 3AH,info@presentation.portadown.ni.sch.uk,Primary school,54.41799,-6.44274,20.54,267
5036590,Primate Dixon Primary School,4 SCHOOL LANE,BT71 4NW,info@primatedixon.coalisland.ni.sch.uk,Primary school,54.54615,-6.7085,19,506
3CA0643,Primrose Hill Day Nursery,3a Lisglass Road,BT39 9NP,,VP Pre-schools,54.73085,-5.96134,,0
4250024,Priory College,MY LADY'S MILE,BT18 9ER,info@priorycollege.holywood.ni.sch.uk,Secondary (non-grammar) school,54.63734,-5.83402,14.07,580
2AB0290,Puddleducks Playgroup,13B Drudgeon Road,BT78 1TJ,,VP Pre-schools,54.55943,-7.36116,,0
5016200,Queen Elizabeth II (Pomeroy) Primary School,3 EDENDOIT ROAD,BT70 2RW,info@queenelizabethii.pomeroy.ni.sch.uk,Primary school,54.59344,-6.92214,15.42,37
2012669,Queen Elizabeth II Primary School,115 KILSKEERY ROAD,BT78 3RJ,info@queenelizps.kilskeery.ni.sch.uk,Primary school,54.44269,-7.53783,12.35,42
5110017,Railway Street Nursery School,RAILWAY STREET,BT61 7HP,info@armaghns.armagh.ni.sch.uk,Nursery school,54.3529,-6.6549,28,0
2AB0043,Rainbow Child Family Centre,104 Bracken Park,BT48 8AZ,,VP Pre-schools,55.02757,-7.33285,,0
5AB0335,Rainbow Community Childcare,2 Stilago Road,BT71 7DW,rainbowcommunitychildcare@gmail.com,VP Pre-schools,54.45026,-6.79318,,0
2AB0344,Rainbow Community Playgroup,18 James Street,BT78 1QX,,VP Pre-schools,54.59863,-7.3092,,0
4AB0441,Rainbow Corner Playgroup,2 Main Street,BT67 0LE,,VP Pre-schools,54.47883,-6.23195,,0
3AB0100,Rainbow Playgroup,Sunnylands Community Centre,BT38 8JW,,VP Pre-schools,54.72162,-5.81254,,0
5AB0194,Rainbow Pre-School Playgroup,The Cathedral Hall,BT25 1AA,,VP Pre-schools,54.41478,-6.15191,,0
5AB0209,Rainbow Stop Playgroup,30b Seaboughan Road,BT60 1SD,rainbowstopplaygroup@hotmail.co.uk,VP Pre-schools,54.29466,-6.52579,,0
3420058,Rainey Endowed School,79 RAINEY STREET,BT45 5DB,info@rainey.magherafelt.ni.sch.uk,Secondary (grammar) school,54.75668,-6.61234,14.98,707
3010816,Randalstown Central Primary School,4 CHURCH ROAD,BT41 3AJ,info@randalstownps.randalstown.ni.sch.uk,Primary school,54.74906,-6.32477,22.72,197
3AB0097,Randalstown Community Playgroup,Neilsbrook Community Centre,BT41 3AE,,VP Pre-schools,54.75298,-6.3204,,0
5AB0227,Rascals 'n' Ruffians,10 Betty's Hill Road,BT34 2LY,rnrballyholland@gmail.com,VP Pre-schools,54.16114,-6.32622,,0
2AB0056,Rascals Community Playgroup,62 Main Street,BT79 8NH,,VP Pre-schools,54.71817,-7.23187,,0
2AB0455,Rascals Playstation,272 MULLAGHMEEN ROAD,BT94 2ER,,VP Pre-schools,54.41901,-7.59554,,0
3AB0082,Rasharkin Community Playgroup,Bamford Park,BT44 8RX,,VP Pre-schools,54.95538,-6.47818,,0
3016125,Rasharkin Primary School,BAMFORD PARK,BT44 8RX,info@rasharkinps.rasharkin.ni.sch.uk,Primary school,54.95475,-6.47815,26.43,74
3010895,Rathcoole Primary School,DERRYCOOLE WAY,BT37 9EL,info@rathcooleps.newtownabbey.ni.sch.uk,Primary school,54.6666,-5.92781,14.15,64
5210127,Rathfriland High School,78 NEWRY STREET,BT34 5PZ,info@rathfrilandhigh.rathfriland.ni.sch.uk,Secondary (non-grammar) school,54.23631,-6.16655,14.5,316
5AB0398,Rathfriland Pre School Playgroup,21A John Street,BT34 5QH,rathfriland-pre-school@hotmail.co.uk,VP Pre-schools,54.23692,-6.16285,,0
4BB0277,Rathkeltair Cross Community Playgroup,St Brigid's Primary School,BT30 6NL,,VP Pre-schools,54.33426,-5.70599,,0
1420095,Rathmore Grammar School,KINGSWAY,BT10 0LF,info@rathmoregs.belfast.ni.sch.uk,Secondary (grammar) school,54.54986,-5.99155,16.39,1276
4016067,Rathmore Primary School,RATHMORE ROAD,BT19 1DJ,info@rathmoreps.bangor.ni.sch.uk,Primary school,54.65692,-5.70236,23.18,586
5316519,Rathore School,23 MARTIN'S LANE,BT35 8PJ,info@rathore.newry.ni.sch.uk,Special school,54.17772,-6.3548,6.38,0
1116158,Ravenscroft Nursery School,RAVENSCROFT AVENUE,BT5 5BA,info@ravenscroftns.belfast.ni.sch.uk,Nursery school,54.59596,-5.8872,26,0
2032704,Recarson Primary School,68 ARVALEE ROAD,BT79 0NE,info@recarsonps.omagh.ni.sch.uk,Primary school,54.59556,-7.22654,20.8,104
4410063,Regent House School,CIRCULAR ROAD,BT23 4QA,info@rhs.newtownards.ni.sch.uk,Secondary (grammar) school,54.58988,-5.7035,17.14,1425
4610063,Regent House School,CIRCULAR ROAD,BT23 4QA,info@rhs.newtownards.ni.sch.uk,Preparatory Schools,54.58921,-5.70326,15,105
1AB0422,Resurrection Nursery and Playgroup,120 Cavehill Road,BT15 5BU,rachaelmcauley1@hotmail.com,VP Pre-schools,54.63039,-5.94603,,0
4AB0515,Rhyme Times Playgroup,Thiepval Barracks,BT28 3BN,,VP Pre-schools,54.52268,-6.04957,,0
5011165,Rich Mount Primary School,105 MOY ROAD,BT62 1QP,info@richmount.portadown.ni.sch.uk,Primary school,54.44104,-6.51012,22.22,120
5016643,Richmond Primary School,1 OLD OMAGH ROAD,BT70 2EZ,info@richmond.ballygawley.ni.sch.uk,Primary school,54.46487,-7.03456,20.96,109
5AB0646,Richmount Playgroup,Derrylettiff Road,BT62 1QU,richmountplay@hotmail.com,VP Pre-schools,54.44156,-6.51264,,0
4CA0530,Right Rascals Day Nursery Unit,17 Kilmood Church Road,BT23 6SA,,VP Pre-schools,54.49219,-5.7318,,0
4016615,Riverdale Primary School,288 BALLYNAHINCH ROAD,BT27 5LX,info@riverdale.lisburn.ni.sch.uk,Primary school,54.47635,-6.01417,24.14,208
3316609,Riverside Special School,FENNEL ROAD,BT41 4PB,info@riversidess.antrim.ni.sch.uk,Special school,54.71199,-6.21567,5.78,0
5032591,Roan St Patrick's Primary School,114 KILLYLISS ROAD,BT70 1LE,info@roan.eglish.ni.sch.uk,Primary school,54.45246,-6.79617,25.4,127
